Processing: NKDUSCAN.dll
Processing: NKDSBP2.dll
Processing: ICEDLL.dll
Processing: ICENKNL1.dll
Processing: ICENKNX2.dll
Processing: LS4000.md3
Processing: LS5000.md3
Processing: LS8000.md3
Processing: LS9000.md3
Processing: NikonScan4.ds
Processing: DRAGNKL1.dll
Processing: DRAGNKX2.dll
--- EXPORTS ---
binary,name,ordinal,rva,forwarder
NKDUSCAN.dll,NkDriverEntry,1,0x00003C40,
NKDSBP2.dll,NkDriverEntry,1,0x000041D0,
ICEDLL.dll,DICEAbort,1,0x0002FD90,
ICEDLL.dll,DICEBegin,2,0x0002FDF0,
ICEDLL.dll,DICEClearAllFrameInfo,3,0x0002FEB0,
ICEDLL.dll,DICEComplete,4,0x0002FD40,
ICEDLL.dll,DICEDelete,5,0x0002FAB0,
ICEDLL.dll,DICEDequeueInputBuff,6,0x0002FCE0,
ICEDLL.dll,DICEDequeueOutputBuff,7,0x0002FC80,
ICEDLL.dll,DICEEnd,8,0x0002FDC0,
ICEDLL.dll,DICEFree,9,0x0002FF20,
ICEDLL.dll,DICEGetCurrentInputRow,10,0x0002FBE0,
ICEDLL.dll,DICEGetCurrentOutputRow,11,0x0002FBC0,
ICEDLL.dll,DICEGetDefectPercent,12,0x0002FC20,
ICEDLL.dll,DICEGetDuration,13,0x0002FC00,
ICEDLL.dll,DICEGetFloatParameter,14,0x0002FB20,
ICEDLL.dll,DICEGetIntParameter,15,0x0002FB00,
ICEDLL.dll,DICEGetMaxFrameCount,16,0x0002FE70,
ICEDLL.dll,DICEGetPtrParameter,17,0x0002FAE0,
ICEDLL.dll,DICEHasOverflowOutputBuff,18,0x0002FCA0,
ICEDLL.dll,DICEInit,19,0x0002FE30,
ICEDLL.dll,DICELoad,20,0x0002FF50,
ICEDLL.dll,DICEMakeOverflowOutputBuff,21,0x0002FCC0,
ICEDLL.dll,DICEMalloc,22,0x0002FF00,
ICEDLL.dll,DICENeedInputBuff,23,0x0002FC60,
ICEDLL.dll,DICENeedOutputBuff,24,0x0002FC40,
ICEDLL.dll,DICENew,25,0x000300E0,
ICEDLL.dll,DICEProcess,26,0x0002FD60,
ICEDLL.dll,DICEQueueInputBuff,27,0x0002FD20,
ICEDLL.dll,DICEQueueOutputBuff,28,0x0002FD00,
ICEDLL.dll,DICERealloc,29,0x0002FEE0,
ICEDLL.dll,DICESetFloatParameter,30,0x0002FB80,
ICEDLL.dll,DICESetIntParameter,31,0x0002FB60,
ICEDLL.dll,DICESetMaxFrameCount,32,0x0002FE80,
ICEDLL.dll,DICESetPtrParameter,33,0x0002FB40,
ICEDLL.dll,DICEUnload,34,0x0002FF40,
ICEDLL.dll,DICEUseDefaultParameters,35,0x0002FBA0,
ICEDLL.dll,DICEVersion,36,0x0002FA40,
ICENKNL1.dll,DICEAbort,1,0x0000AE90,
ICENKNL1.dll,DICEBegin,2,0x0000AEF0,
ICENKNL1.dll,DICEClearAllFrameInfo,3,0x0000AFE0,
ICENKNL1.dll,DICEComplete,4,0x0000AE40,
ICENKNL1.dll,DICEDelete,5,0x0000AAC0,
ICENKNL1.dll,DICEDequeueInputBuff,6,0x0000ADC0,
ICENKNL1.dll,DICEDequeueOutputBuff,7,0x0000AD60,
ICENKNL1.dll,DICEEnd,8,0x0000AEC0,
ICENKNL1.dll,DICEFree,9,0x0000B050,
ICENKNL1.dll,DICEGetCurrentInputRow,10,0x0000ACC0,
ICENKNL1.dll,DICEGetCurrentOutputRow,11,0x0000ACA0,
ICENKNL1.dll,DICEGetDefectPercent,12,0x0000AD00,
ICENKNL1.dll,DICEGetDuration,13,0x0000ACE0,
ICENKNL1.dll,DICEGetFloatParameter,14,0x0000AB80,
ICENKNL1.dll,DICEGetIntParameter,15,0x0000AB40,
ICENKNL1.dll,DICEGetMaxFrameCount,16,0x0000AF90,
ICENKNL1.dll,DICEGetPtrParameter,17,0x0000AB00,
ICENKNL1.dll,DICEHasOverflowOutputBuff,18,0x0000AD80,
ICENKNL1.dll,DICEInit,19,0x0000AF40,
ICENKNL1.dll,DICELoad,20,0x0000B080,
ICENKNL1.dll,DICEMakeOverflowOutputBuff,21,0x0000ADA0,
ICENKNL1.dll,DICEMalloc,22,0x0000B030,
ICENKNL1.dll,DICENeedInputBuff,23,0x0000AD40,
ICENKNL1.dll,DICENeedOutputBuff,24,0x0000AD20,
ICENKNL1.dll,DICENew,25,0x00003010,
ICENKNL1.dll,DICEProcess,26,0x0000AE60,
ICENKNL1.dll,DICEQueueInputBuff,27,0x0000AE10,
ICENKNL1.dll,DICEQueueOutputBuff,28,0x0000ADE0,
ICENKNL1.dll,DICERealloc,29,0x0000B010,
ICENKNL1.dll,DICESetFloatParameter,30,0x0000AC40,
ICENKNL1.dll,DICESetIntParameter,31,0x0000AC00,
ICENKNL1.dll,DICESetMaxFrameCount,32,0x0000AFA0,
ICENKNL1.dll,DICESetPtrParameter,33,0x0000ABC0,
ICENKNL1.dll,DICEUnload,34,0x0000B070,
ICENKNL1.dll,DICEUseDefaultParameters,35,0x0000AC80,
ICENKNL1.dll,DICEVersion,36,0x0000AA50,
ICENKNX2.dll,DICEAbort,1,0x0000BE10,
ICENKNX2.dll,DICEBegin,2,0x0000BE70,
ICENKNX2.dll,DICEClearAllFrameInfo,3,0x0000BF60,
ICENKNX2.dll,DICEComplete,4,0x0000BDC0,
ICENKNX2.dll,DICEDelete,5,0x0000BA40,
ICENKNX2.dll,DICEDequeueInputBuff,6,0x0000BD40,
ICENKNX2.dll,DICEDequeueOutputBuff,7,0x0000BCE0,
ICENKNX2.dll,DICEEnd,8,0x0000BE40,
ICENKNX2.dll,DICEFree,9,0x0000BFD0,
ICENKNX2.dll,DICEGetCurrentInputRow,10,0x0000BC40,
ICENKNX2.dll,DICEGetCurrentOutputRow,11,0x0000BC20,
ICENKNX2.dll,DICEGetDefectPercent,12,0x0000BC80,
ICENKNX2.dll,DICEGetDuration,13,0x0000BC60,
ICENKNX2.dll,DICEGetFloatParameter,14,0x0000BB00,
ICENKNX2.dll,DICEGetIntParameter,15,0x0000BAC0,
ICENKNX2.dll,DICEGetMaxFrameCount,16,0x0000BF10,
ICENKNX2.dll,DICEGetPtrParameter,17,0x0000BA80,
ICENKNX2.dll,DICEHasOverflowOutputBuff,18,0x0000BD00,
ICENKNX2.dll,DICEInit,19,0x0000BEC0,
ICENKNX2.dll,DICELoad,20,0x0000C000,
ICENKNX2.dll,DICEMakeOverflowOutputBuff,21,0x0000BD20,
ICENKNX2.dll,DICEMalloc,22,0x0000BFB0,
ICENKNX2.dll,DICENeedInputBuff,23,0x0000BCC0,
ICENKNX2.dll,DICENeedOutputBuff,24,0x0000BCA0,
ICENKNX2.dll,DICENew,25,0x00003F40,
ICENKNX2.dll,DICEProcess,26,0x0000BDE0,
ICENKNX2.dll,DICEQueueInputBuff,27,0x0000BD90,
ICENKNX2.dll,DICEQueueOutputBuff,28,0x0000BD60,
ICENKNX2.dll,DICERealloc,29,0x0000BF90,
ICENKNX2.dll,DICESetFloatParameter,30,0x0000BBC0,
ICENKNX2.dll,DICESetIntParameter,31,0x0000BB80,
ICENKNX2.dll,DICESetMaxFrameCount,32,0x0000BF20,
ICENKNX2.dll,DICESetPtrParameter,33,0x0000BB40,
ICENKNX2.dll,DICEUnload,34,0x0000BFF0,
ICENKNX2.dll,DICEUseDefaultParameters,35,0x0000BC00,
ICENKNX2.dll,DICEVersion,36,0x0000B9D0,
LS4000.md3,?NkCtrlEntry@@YGFFFFPAX@Z,1,0x0007EB30,
LS4000.md3,MAIDEntryPoint,2,0x000223B0,
LS4000.md3,NkMDCtrlEntry,3,0x0000A430,
LS5000.md3,?NkCtrlEntry@@YGFFFFPAX@Z,1,0x0009BDD0,
LS5000.md3,MAIDEntryPoint,2,0x000298F0,
LS5000.md3,NkMDCtrlEntry,3,0x0000B120,
LS8000.md3,?NkCtrlEntry@@YGFFFFPAX@Z,1,0x00091850,
LS8000.md3,MAIDEntryPoint,2,0x00027600,
LS8000.md3,NkMDCtrlEntry,3,0x0000B520,
LS9000.md3,?NkCtrlEntry@@YGFFFFPAX@Z,1,0x000984B0,
LS9000.md3,MAIDEntryPoint,2,0x000294B0,
LS9000.md3,NkMDCtrlEntry,3,0x0000C040,
NikonScan4.ds,ActivateScannerWindow,2,0x00048540,
NikonScan4.ds,AddCurvesToLutGroup,3,0x00047E20,
NikonScan4.ds,CanEject,4,0x000479E0,
NikonScan4.ds,CanFeed,5,0x00047A40,
NikonScan4.ds,CanShowPreferences,6,0x00047C80,
NikonScan4.ds,DS_Entry,1,0x00091F50,
NikonScan4.ds,Eject,8,0x00047AA0,
NikonScan4.ds,GetAvailableSourceCount,9,0x00047EF0,
NikonScan4.ds,GetBitDepthCount,10,0x000483A0,
NikonScan4.ds,GetBitDepthItem,11,0x00048400,
NikonScan4.ds,GetCMLEngineNN,12,0x000481A0,
NikonScan4.ds,GetCMLEngineNS,13,0x00048210,
NikonScan4.ds,GetCMLEngineSN,14,0x00048280,
NikonScan4.ds,GetCMLEngineSS,15,0x000482F0,
NikonScan4.ds,GetCMYKProfile,16,0x00048750,
NikonScan4.ds,GetColorSpaceCount,17,0x000474B0,
NikonScan4.ds,GetColorSpaceItem,18,0x00047510,
NikonScan4.ds,GetDefaultSaveType,19,0x00048080,
NikonScan4.ds,GetDisplaySettingsSection,20,0x00047DE0,
NikonScan4.ds,GetFilmTypeCount,21,0x000475E0,
NikonScan4.ds,GetFilmTypeItem,22,0x00047640,
NikonScan4.ds,GetFrescoToolPalette,23,0x00047D40,
NikonScan4.ds,GetGrayProfile,24,0x000489C0,
NikonScan4.ds,GetGridParameters,25,0x00047D70,
NikonScan4.ds,GetLCHProfile,26,0x00048960,
NikonScan4.ds,GetLastSaveType,27,0x000480C0,
NikonScan4.ds,GetMonitorGamma,28,0x00047440,
NikonScan4.ds,GetMonitorProfile,29,0x00048660,
NikonScan4.ds,GetPrinterProfile,30,0x000486F0,
NikonScan4.ds,GetProfilePath,31,0x00048A70,
NikonScan4.ds,GetProgress,32,0x00047F30,
NikonScan4.ds,GetRGBProfile,33,0x00048800,
NikonScan4.ds,GetSampleSize,34,0x00048360,
NikonScan4.ds,GetSelectedItemsCount,35,0x000478B0,
NikonScan4.ds,GetSource,36,0x00048AB0,
NikonScan4.ds,GetStratoManager,37,0x00047D10,
NikonScan4.ds,IsAnyItemExist,38,0x000485E0,
NikonScan4.ds,IsNormalPaneShown,39,0x00047F90,
NikonScan4.ds,IsUserSettingsExist,40,0x00047910,
NikonScan4.ds,LoadSettings,41,0x00047710,
NikonScan4.ds,PreTranslateMessageDLL,42,0x00048170,
NikonScan4.ds,ResetToDefaultSettings,43,0x000477F0,
NikonScan4.ds,SaveSettings,44,0x00047780,
NikonScan4.ds,SelectBitDepthItem,45,0x00048470,
NikonScan4.ds,SelectColorSpaceItem,46,0x00047580,
NikonScan4.ds,SelectFilmTypeItem,47,0x000476B0,
NikonScan4.ds,SelectToolsItem,48,0x000485A0,
NikonScan4.ds,SetAutoFeeder,49,0x00047B00,
NikonScan4.ds,SetLastSaveType,50,0x00048100,
NikonScan4.ds,ShowAbout,51,0x00047B60,
NikonScan4.ds,ShowHelp,52,0x00048140,
NikonScan4.ds,ShowPane,53,0x00048000,
NikonScan4.ds,ShowPreferences,54,0x000473B0,
NikonScan4.ds,StartScan,55,0x00047C20,
NikonScan4.ds,TransformItem,56,0x000484D0,
NikonScan4.ds,UpdateSettingsItem,57,0x00047970,
NikonScan4.ds,UseCMS,58,0x00047410,
NikonScan4.ds,UserSettings,59,0x00047850,
NikonScan4.ds,_DS_Entry@20,7,0x00091F50,
DRAGNKL1.dll,ClearNormalizeStatistics,1,0x0000D760,
DRAGNKL1.dll,DRAGAbort,2,0x000011B0,
DRAGNKL1.dll,DRAGBegin,3,0x00001190,
DRAGNKL1.dll,DRAGComplete,4,0x00001200,
DRAGNKL1.dll,DRAGCore,5,0x0000E4F0,
DRAGNKL1.dll,DRAGDelete,6,0x00001120,
DRAGNKL1.dll,DRAGEnd,7,0x000011B0,
DRAGNKL1.dll,DRAGGetCurrentInputRow,8,0x00001240,
DRAGNKL1.dll,DRAGGetCurrentOutputRow,9,0x00001260,
DRAGNKL1.dll,DRAGGetDuration,10,0x00001220,
DRAGNKL1.dll,DRAGInit,11,0x00001140,
DRAGNKL1.dll,DRAGLoad,12,0x00002FB0,
DRAGNKL1.dll,DRAGNew,13,0x00001010,
DRAGNKL1.dll,DRAGProcess,14,0x000011D0,
DRAGNKL1.dll,DRAGSetAvailableInputRow,15,0x00001280,
DRAGNKL1.dll,DRAGSetFloatParameter,16,0x000012C0,
DRAGNKL1.dll,DRAGSetStatisticsImageInfo,17,0x00001170,
DRAGNKL1.dll,DRAGUnload,18,0x0000DC90,
DRAGNKL1.dll,DRAGUseDefaultParameters,19,0x000012A0,
DRAGNKL1.dll,DRAGVersion,20,0x00001000,
DRAGNKL1.dll,Exported_ArrangeForDRAG,21,0x0001B610,
DRAGNKL1.dll,Exported_ArrangeForFFT,22,0x0001D080,
DRAGNKL1.dll,Exported_Complex_2D_FLPT_FFT,23,0x0001F6F0,
DRAGNKL1.dll,Exported_Complex_2D_FLPT_FFT_New,24,0x0001F6F0,
DRAGNKL1.dll,Exported_Complex_2D_FLPT_IFFT,25,0x00020680,
DRAGNKL1.dll,FixupEdgeBuffers,26,0x000122B0,
DRAGNKL1.dll,FixupEdgeBuffers_int,27,0x000124D0,
DRAGNKL1.dll,FixupTopAndLeftEdges,28,0x000126F0,
DRAGNKL1.dll,FreeDRAGCore,29,0x0000DC90,
DRAGNKL1.dll,GetDRAGProcessInstructions,30,0x000114C0,
DRAGNKL1.dll,GetNormalizeStatistics,31,0x0000D360,
DRAGNKL1.dll,GetVerbosity,32,0x000121C0,
DRAGNKL1.dll,InitDRAGBlock,33,0x0000DC80,
DRAGNKL1.dll,InitDRAGCore,34,0x0000CE40,
DRAGNKL1.dll,InitDRAGImageNormalize,35,0x0000D070,
DRAGNKL1.dll,InitDRAGImageProcess,36,0x0000D210,
DRAGNKL1.dll,InitDRAGPhase,37,0x0000D980,
DRAGNKL1.dll,InitDRAGRow,38,0x0000DC60,
DRAGNKL1.dll,SetGrainResidue,39,0x0000DB00,
DRAGNKL1.dll,SetGrayLevelAdjustment,40,0x0000DB70,
DRAGNKL1.dll,SetNormalizeStatistics,41,0x0000D570,
DRAGNKL1.dll,SetREVPreview,42,0x0000DC50,
DRAGNKL1.dll,SetREV_DH_Adjustment,43,0x0000DBE0,
DRAGNKL1.dll,SetREV_GT_Adjustment,44,0x0000DBC0,
DRAGNKL1.dll,SetREV_SB_Adjustment,45,0x0000DB90,
DRAGNKL1.dll,SetROCAdjustment,46,0x0000DAF0,
DRAGNKL1.dll,SetVerbosity,47,0x000121B0,
DRAGNKL1.dll,SizeofNormalizeStatistics,48,0x0000D2F0,
DRAGNKX2.dll,ClearNormalizeStatistics,1,0x0000B5F0,
DRAGNKX2.dll,DRAGAbort,2,0x00001110,
DRAGNKX2.dll,DRAGBegin,3,0x000010D0,
DRAGNKX2.dll,DRAGComplete,4,0x00001160,
DRAGNKX2.dll,DRAGCore,5,0x0000BD20,
DRAGNKX2.dll,DRAGDelete,6,0x00001060,
DRAGNKX2.dll,DRAGEnd,7,0x000010F0,
DRAGNKX2.dll,DRAGGetCurrentInputRow,8,0x000011A0,
DRAGNKX2.dll,DRAGGetCurrentOutputRow,9,0x000011C0,
DRAGNKX2.dll,DRAGGetDuration,10,0x00001180,
DRAGNKX2.dll,DRAGInit,11,0x00001080,
DRAGNKX2.dll,DRAGLoad,12,0x000026B0,
DRAGNKX2.dll,DRAGNew,13,0x00001010,
DRAGNKX2.dll,DRAGProcess,14,0x00001130,
DRAGNKX2.dll,DRAGSetAvailableInputRow,15,0x000011E0,
DRAGNKX2.dll,DRAGSetFloatParameter,16,0x00001220,
DRAGNKX2.dll,DRAGSetStatisticsImageInfo,17,0x000010B0,
DRAGNKX2.dll,DRAGUnload,18,0x0000B9B0,
DRAGNKX2.dll,DRAGUseDefaultParameters,19,0x00001200,
DRAGNKX2.dll,DRAGVersion,20,0x00001000,
DRAGNKX2.dll,Exported_ArrangeForDRAG,21,0x00013FE0,
DRAGNKX2.dll,Exported_ArrangeForFFT,22,0x00016030,
DRAGNKX2.dll,Exported_Complex_2D_FLPT_FFT,23,0x00018E00,
DRAGNKX2.dll,Exported_Complex_2D_FLPT_FFT_Intel,24,0x00018E00,
DRAGNKX2.dll,Exported_Complex_2D_FLPT_FFT_New,25,0x00018E00,
DRAGNKX2.dll,Exported_Complex_2D_FLPT_IFFT,26,0x0001A1A0,
DRAGNKX2.dll,FixupEdgeBuffers,27,0x0000D080,
DRAGNKX2.dll,FixupEdgeBuffers_int,28,0x0000D280,
DRAGNKX2.dll,FreeDRAGCore,29,0x0000B9B0,
DRAGNKX2.dll,GetDRAGProcessInstructions,30,0x0000A780,
DRAGNKX2.dll,GetNormalizeStatistics,31,0x0000B1F0,
DRAGNKX2.dll,GetVerbosity,32,0x0000CF90,
DRAGNKX2.dll,InitDRAGBlock,33,0x0000B9A0,
DRAGNKX2.dll,InitDRAGCore,34,0x0000AE50,
DRAGNKX2.dll,InitDRAGImageNormalize,35,0x0000AFA0,
DRAGNKX2.dll,InitDRAGImageProcess,36,0x0000B110,
DRAGNKX2.dll,InitDRAGPhase,37,0x0000B7C0,
DRAGNKX2.dll,InitDRAGRow,38,0x0000B980,
DRAGNKX2.dll,SetGrainResidue,39,0x0000B940,
DRAGNKX2.dll,SetGrayLevelAdjustment,40,0x0000B960,
DRAGNKX2.dll,SetNormalizeStatistics,41,0x0000B3E0,
DRAGNKX2.dll,SetROCAdjustment,42,0x0000B930,
DRAGNKX2.dll,SetVerbosity,43,0x0000CF80,
DRAGNKX2.dll,SizeofNormalizeStatistics,44,0x0000B1A0,

--- IMPORTS ---
binary,dll,name,ordinal,hint
NKDUSCAN.dll,KERNEL32.dll,SetThreadPriority,,1035
NKDUSCAN.dll,KERNEL32.dll,InitializeCriticalSection,,692
NKDUSCAN.dll,KERNEL32.dll,CreateEventA,,114
NKDUSCAN.dll,KERNEL32.dll,WaitForSingleObject,,1124
NKDUSCAN.dll,KERNEL32.dll,LeaveCriticalSection,,751
NKDUSCAN.dll,KERNEL32.dll,EnterCriticalSection,,217
NKDUSCAN.dll,KERNEL32.dll,ResetEvent,,906
NKDUSCAN.dll,KERNEL32.dll,SetEvent,,979
NKDUSCAN.dll,KERNEL32.dll,DeleteCriticalSection,,190
NKDUSCAN.dll,KERNEL32.dll,CloseHandle,,67
NKDUSCAN.dll,KERNEL32.dll,ReadFile,,872
NKDUSCAN.dll,KERNEL32.dll,WriteFile,,1165
NKDUSCAN.dll,KERNEL32.dll,DeviceIoControl,,202
NKDUSCAN.dll,KERNEL32.dll,CreateFileA,,120
NKDUSCAN.dll,KERNEL32.dll,WideCharToMultiByte,,1146
NKDUSCAN.dll,KERNEL32.dll,GetModuleHandleA,,502
NKDUSCAN.dll,KERNEL32.dll,SetThreadExecutionState,,1031
NKDUSCAN.dll,KERNEL32.dll,ExitThread,,261
NKDUSCAN.dll,KERNEL32.dll,GetCurrentThreadId,,429
NKDUSCAN.dll,KERNEL32.dll,GetLastError,,486
NKDUSCAN.dll,KERNEL32.dll,CreateThread,,163
NKDUSCAN.dll,KERNEL32.dll,TerminateProcess,,1069
NKDUSCAN.dll,KERNEL32.dll,GetCurrentProcess,,425
NKDUSCAN.dll,KERNEL32.dll,UnhandledExceptionFilter,,1086
NKDUSCAN.dll,KERNEL32.dll,SetUnhandledExceptionFilter,,1045
